order_id,customer_id,order_date,product_category,payment_method,price,quantity,discount,order_status,rating
94654,3704,2022-10-21,Beauty,NetBanking,2740.56,,10,Cancelled,3
45773,4319,2022-09-07,Beauty,Card,1431.08,1,5,Delivered,1
77435,4764,2023-10-29,Fashion,COD,1582.47,3,10,Returned,
66886,2316,2023-11-20,Beauty,NetBanking,1874.56,1,20,Returned,1
76803,3578,2022-11-08,Beauty,NetBanking,1649.3,4,5,,
41551,2161,2023-11-20,Beauty,Card,913.53,4,10,Cancelled,5
21394,2579,2023-03-01,Fashion,COD,4428.98,2,,,5
79092,2761,2023-12-25,Electronics,COD,2256.26,4,10,Delivered,5
13890,2368,2022-07-07,Home,,2542.04,,5,Returned,1
51606,1036,2022-12-21,Fashion,Card,2635.19,1,20,,2
90038,1313,2023-08-22,Home,UPI,2726.31,3,0,Returned,1
97313,1219,2022-11-08,,COD,1975.36,,10,Cancelled,
20627,3687,2023-12-17,Beauty,UPI,4353.22,,0,Cancelled,3
18792,4214,2023-03-22,Beauty,,2196.03,1,0,Cancelled,2
83969,2427,2023-09-21,Beauty,NetBanking,3578.42,,,Delivered,1
53001,2718,2023-07-28,Beauty,NetBanking,3408.07,1,,Delivered,
86552,2932,2023-09-04,Electronics,COD,4302.12,,,Cancelled,
33897,1403,2023-11-13,Home,Card,1044.0,,,Delivered,5
78148,4626,2022-06-05,Fashion,,4095.72,4,5,Delivered,3
33483,1478,2022-02-06,Fashion,,657.35,4,20,Cancelled,2
58555,3769,2023-07-01,Electronics,UPI,1826.83,2,5,Delivered,5
27159,3984,2023-03-14,Electronics,UPI,2186.14,3,,Delivered,1
90077,4631,2022-11-23,,,2474.22,,5,Returned,3
45920,1823,2022-12-20,Home,,1885.21,2,10,Returned,
77121,1219,2022-09-19,Beauty,NetBanking,1155.56,2,5,,4
79479,3414,2022-01-19,Beauty,,2242.39,3,20,,2
99475,2219,2022-12-28,Electronics,NetBanking,1068.57,1,10,Delivered,4
29457,1983,2022-01-08,Electronics,UPI,4363.26,3,10,Cancelled,1
76557,1683,2023-03-08,Fashion,,2178.23,,0,Returned,4
87189,4820,2023-04-23,Fashion,COD,-659.73,3,10,,4
88953,4016,2023-03-26,Electronics,Card,4421.4,3,10,Delivered,5
62995,2710,2023-01-08,,NetBanking,-1030.63,2,10,,3
50757,2969,2023-06-20,,,3528.99,2,5,,
19692,4103,2023-10-15,Beauty,Card,2545.36,1,5,Delivered,2
55758,4066,2022-04-29,,UPI,1812.45,3,10,Returned,
82409,2759,2023-04-02,Beauty,COD,1092.84,,5,,
81211,4125,2022-01-09,,,5368.22,2,10,Cancelled,2
75697,3470,2023-03-23,,,1728.14,,20,,2
47065,4769,2022-06-17,Electronics,UPI,2322.35,,10,Returned,3
42606,2003,2023-12-21,,UPI,3083.59,1,0,,5
21534,3281,2023-07-26,Beauty,NetBanking,1541.27,,20,Cancelled,5
50397,1828,2022-12-29,Home,,2405.41,2,5,Delivered,4
11016,1742,2023-07-17,Home,,3274.67,2,0,Returned,3
99789,2133,2023-07-06,Fashion,COD,1525.76,4,,Cancelled,
65591,4034,2022-09-24,Beauty,NetBanking,1946.18,3,20,Cancelled,1
99812,3926,2022-11-25,Electronics,COD,1607.9,1,10,Cancelled,2
33247,2123,2022-01-16,Electronics,NetBanking,3720.23,4,20,Delivered,3
34300,2735,2022-10-08,Fashion,,4326.27,,20,Delivered,1
84065,2234,2023-02-20,Home,NetBanking,2459.49,1,10,Delivered,2
92798,3780,2023-12-15,Beauty,,2231.35,,,,3
19268,4474,2023-04-23,,Card,845.04,1,,Delivered,5
96807,2860,2023-03-17,Fashion,Card,1508.39,3,,Cancelled,3
22185,4221,2023-08-19,Beauty,NetBanking,2090.49,,10,Cancelled,
73704,1674,2022-10-24,,UPI,4960.74,4,5,Returned,5
96779,2417,2023-01-15,,Card,4039.3,3,,Cancelled,1
49099,3702,2022-03-06,Beauty,,2971.8,,10,Delivered,5
18571,3305,2022-06-09,Electronics,NetBanking,2508.34,4,,,
48044,2268,2023-09-08,Beauty,,522.97,1,0,Delivered,4
61214,2001,2022-06-25,Beauty,Card,1460.71,1,5,,1
71228,4221,2023-07-20,Electronics,Card,3062.98,2,10,,2
58984,1623,2022-05-05,Fashion,,2497.86,3,0,Cancelled,5
50774,1098,2022-03-16,Electronics,UPI,1854.99,2,10,Returned,4
12568,2126,2023-09-26,,NetBanking,1760.36,,5,,1
72592,4794,2023-07-07,Home,COD,3347.49,2,20,Cancelled,
77563,3059,2023-05-20,Fashion,COD,3092.97,,10,Returned,4
12695,2916,2022-12-05,Beauty,,2442.46,,,Returned,3
58190,2249,2023-07-27,Beauty,Card,2200.02,3,0,,2
15258,3860,2022-05-15,,COD,3026.34,4,10,Delivered,4
97538,4513,2023-04-22,,,2472.99,3,,Cancelled,5
49504,4219,2023-09-06,Fashion,NetBanking,1603.65,4,0,Returned,4
43159,1178,2022-02-22,Fashion,NetBanking,3254.76,3,10,Cancelled,1
23986,4078,2022-08-16,Fashion,NetBanking,1512.92,3,5,Delivered,2
71858,3199,2022-04-10,,UPI,3229.84,1,0,Returned,3
22666,1834,2023-04-22,Home,NetBanking,2863.03,1,,Cancelled,3
48660,1581,2022-12-15,Electronics,Card,2130.41,2,0,Returned,2
13561,2376,2022-02-04,,NetBanking,-125.82,2,,Delivered,3
36854,3612,2022-09-16,Home,UPI,438.85,2,,,
74505,4745,2023-01-01,,,2869.92,,20,,
62251,2440,2023-04-26,Electronics,COD,590.38,,10,,2
32662,2628,2022-11-16,Fashion,UPI,3670.06,2,,Returned,
18392,4734,2022-05-19,Home,,319.99,4,,Cancelled,3
40535,2593,2022-05-10,Fashion,COD,2054.71,4,0,Cancelled,
88603,1195,2023-01-18,Electronics,NetBanking,2270.37,,0,Cancelled,3
62256,3372,2023-09-10,,,4404.66,4,10,,
99135,3529,2022-04-09,Beauty,COD,3539.08,2,,,
45222,3255,2023-02-18,Electronics,NetBanking,1217.5,1,20,,5
87373,1935,2022-01-21,Electronics,Card,3909.13,,0,Returned,5
89575,4374,2023-03-17,Home,Card,2976.59,2,20,Delivered,3
94651,2322,2023-11-26,Beauty,COD,1398.55,3,5,Returned,3
73335,1956,2022-12-21,Home,Card,4036.24,,20,Returned,5
20965,3473,2023-12-04,Home,Card,1647.35,1,10,Delivered,
34538,2085,2022-11-04,Fashion,NetBanking,-1274.27,2,0,Cancelled,3
80592,4266,2022-07-17,Electronics,NetBanking,1678.23,3,20,Returned,2
18110,1566,2023-04-03,Electronics,,2576.97,1,10,Cancelled,
89309,4434,2023-06-05,Electronics,Card,4271.67,,5,Returned,4
37266,4632,2023-04-26,Beauty,COD,1918.91,3,20,Returned,2
62992,3665,2023-09-27,Fashion,Card,762.5,2,0,,3
92948,3992,2022-02-01,Beauty,UPI,2804.55,1,0,,1
16910,2101,2022-12-24,,,1881.76,3,5,Returned,4
10206,1886,2022-04-22,Home,UPI,4067.6,2,10,,2
97054,3976,2023-12-25,Home,NetBanking,4757.46,2,0,Cancelled,1
97897,1283,2022-09-16,Beauty,NetBanking,-106.87,1,0,Returned,
33419,2080,2022-10-04,Beauty,Card,2274.25,2,20,Cancelled,1
60636,3728,2022-11-24,Home,COD,1834.62,2,20,Cancelled,4
60015,1375,2022-04-26,Fashion,Card,1295.97,4,5,Delivered,4
64268,3423,2022-08-26,Fashion,UPI,3153.7,2,10,,5
97939,4790,2023-11-18,Home,NetBanking,4559.3,3,20,Delivered,3
28141,3819,2023-06-17,,UPI,2938.53,4,10,Delivered,5
90356,1787,2022-10-25,Beauty,COD,3027.78,1,10,Delivered,3
81910,1372,2023-10-19,Electronics,Card,921.62,3,20,Delivered,
66044,1856,2023-07-06,,UPI,1955.2,2,5,,3
77214,2698,2022-02-27,Fashion,Card,3141.82,3,0,Delivered,1
43827,3291,2022-04-25,Electronics,UPI,4654.27,1,0,,3
65820,3809,2023-01-23,Electronics,,4375.82,1,20,Delivered,4
72623,4892,2023-07-08,,,3204.7,4,5,Cancelled,
91734,4110,2022-11-09,,,1210.38,3,5,Delivered,5
85450,4380,2023-07-02,Beauty,Card,2461.36,4,,Delivered,5
32299,3680,2022-09-10,,UPI,1733.55,1,,,3
53585,3133,2022-02-21,Home,COD,2432.6,4,20,,
74044,1098,2023-03-28,Fashion,NetBanking,3521.48,3,10,Returned,
52557,3421,2023-06-06,Beauty,NetBanking,1627.55,2,,Returned,1
59080,3805,2022-06-01,Beauty,COD,2625.11,4,20,Cancelled,3
12693,2518,2023-10-22,Home,NetBanking,1610.9,3,,Delivered,4
79163,4931,2023-01-01,Electronics,,3488.37,3,,Cancelled,
35939,2929,2023-05-24,,UPI,2839.87,1,20,Cancelled,2
58925,2231,2022-02-21,Electronics,Card,3151.1,3,10,Cancelled,4
52941,1624,2022-09-27,Fashion,NetBanking,3875.17,1,10,,4
31834,4030,2023-08-08,Fashion,COD,2313.91,3,20,Delivered,2
28047,1082,2022-09-07,Beauty,Card,1123.73,1,5,Returned,
36105,2600,2023-11-05,,UPI,3516.25,1,10,,3
85766,1000,2023-08-19,Electronics,Card,3038.0,,0,,
25707,3484,2023-04-05,,Card,2166.99,1,,Delivered,5
31976,1685,2023-05-14,Beauty,UPI,2587.91,,10,Returned,4
54262,1249,2022-04-22,Beauty,,1838.49,1,20,Returned,
33776,1409,2022-04-13,Electronics,UPI,2807.83,,0,Delivered,2
40080,3785,2022-01-12,,Card,1771.69,,20,,1
76842,2409,2023-04-15,Home,COD,2502.27,1,0,Returned,4
71373,4867,2022-08-20,Fashion,UPI,1795.1,,,Delivered,5
16776,2107,2023-05-19,Fashion,UPI,3395.45,1,20,Cancelled,1
65016,1489,2023-03-31,Fashion,,2793.71,,5,Returned,4
19474,3286,2023-10-11,Beauty,NetBanking,2095.04,3,10,Delivered,2
68053,3970,2023-07-17,Home,COD,2626.98,3,5,,1
31959,3587,2022-02-06,Beauty,COD,770.01,1,10,,5
15530,3427,2022-05-30,Electronics,NetBanking,836.64,4,10,Returned,1
13748,1798,2022-05-17,,Card,1894.61,,0,Cancelled,5
23545,1942,2023-04-09,,COD,1563.28,3,10,Delivered,3
76199,4462,2022-04-26,,NetBanking,1301.76,3,10,Cancelled,4
44766,4399,2023-07-29,,Card,739.21,2,10,Delivered,5
83530,2503,2022-12-07,Beauty,,2207.56,2,,Cancelled,5
71087,2994,2022-11-25,,UPI,2018.98,1,,Cancelled,1
78840,2327,2023-01-31,Electronics,COD,1334.29,1,10,Returned,3
64384,4353,2022-04-26,Home,NetBanking,2490.07,,0,Cancelled,
61005,1694,2022-11-25,Beauty,Card,3609.55,,10,Returned,3
56576,4416,2023-04-20,Electronics,NetBanking,1060.79,,20,Cancelled,
49353,1134,2022-02-04,Electronics,UPI,3902.48,1,,Cancelled,3
72003,2491,2022-12-29,Fashion,UPI,376.85,2,5,Cancelled,
93211,3408,2022-06-15,Home,UPI,2517.12,4,,Cancelled,3
62733,3616,2023-08-31,Fashion,Card,3802.57,,0,,4
75318,4186,2023-11-12,,NetBanking,3516.91,2,5,,5
99474,1185,2023-11-27,Electronics,NetBanking,2875.53,,10,,
33664,1477,2023-10-11,Fashion,,3135.01,4,,,
77172,3935,2023-01-22,Electronics,COD,2585.29,2,5,,1
95616,1000,2023-07-17,,Card,2320.2,3,,Returned,2
36736,3897,2022-08-16,,,1725.04,2,5,Returned,1
10854,4015,2023-08-12,Home,UPI,1873.14,2,5,Delivered,3
48623,3588,2023-03-09,,Card,2999.81,1,0,Returned,1
17392,4815,2022-08-14,Home,NetBanking,1856.93,3,10,Cancelled,4
65680,2685,2023-12-21,,NetBanking,2108.31,2,10,Delivered,5
56717,1991,2023-11-06,,NetBanking,3335.06,3,10,Delivered,
97092,4495,2022-01-16,Home,COD,1819.9,1,0,Delivered,4
60859,3749,2022-06-17,Fashion,,2387.14,3,0,Delivered,3
36309,1269,2022-01-08,Beauty,COD,2230.06,2,0,Cancelled,3
97455,4831,2023-03-14,Fashion,UPI,2548.16,,,Cancelled,5
73734,3945,2023-11-04,,COD,822.71,4,,Returned,2
80467,3466,2023-03-11,Electronics,COD,2331.24,3,5,,5
62662,4398,2023-01-21,Beauty,Card,2979.76,3,0,,4
22688,1194,2022-06-15,,,2522.79,2,5,,1
35342,4964,2022-11-08,Home,,2069.26,4,5,Returned,3
47157,3302,2023-06-16,Electronics,COD,2331.88,3,10,Delivered,2
77863,1078,2022-02-21,Beauty,NetBanking,1308.2,2,20,Delivered,3
62083,4946,2022-11-17,Beauty,UPI,4398.8,,20,Returned,3
75733,2121,2023-08-01,Beauty,NetBanking,5020.35,,20,Delivered,2
99045,4221,2022-10-02,Electronics,NetBanking,2751.05,1,20,Returned,4
44698,1785,2023-03-29,Electronics,COD,3057.79,4,,Delivered,2
90623,3861,2022-10-03,Home,,1747.6,1,10,,4
32671,4921,2022-11-04,Electronics,Card,4670.7,2,,,1
35184,1446,2023-10-16,Electronics,NetBanking,1156.39,2,5,Cancelled,
52107,1122,2023-09-26,Fashion,COD,2795.14,1,5,,
96202,2633,2023-12-18,Home,COD,3816.91,2,0,Cancelled,1
61663,3723,2022-04-01,Home,Card,4435.82,1,5,Cancelled,4
25708,2581,2023-03-17,Beauty,Card,1651.47,1,,,3
59811,1358,2023-09-26,,,2911.15,,5,,5
12811,3286,2023-02-22,Beauty,NetBanking,1492.07,4,0,Returned,4
66250,2765,2023-11-30,Home,,1544.49,,0,Delivered,4
82082,1804,2023-08-15,Home,,1847.59,3,20,Cancelled,4
44754,2779,2023-10-30,,UPI,4519.18,4,20,,
21411,2553,2023-02-23,,COD,3153.94,3,5,Delivered,4
12911,3730,2023-02-03,,Card,1690.43,3,5,Cancelled,1
77270,2895,2022-09-16,,COD,3378.87,1,,Delivered,3
93763,1668,2023-10-01,Beauty,COD,1650.19,,0,Delivered,1
18680,3251,2022-01-04,Electronics,,2074.13,3,0,Cancelled,4
94896,4729,2022-08-01,Beauty,COD,4652.49,,5,Cancelled,3
93879,1142,2023-02-10,,COD,5248.27,2,10,Cancelled,2
81295,3234,2022-03-10,Beauty,Card,1425.11,3,5,Returned,
98614,4559,2022-08-19,Beauty,COD,3799.17,,10,Returned,4
21111,3169,2023-07-26,Beauty,NetBanking,3610.88,3,,Returned,1
47504,4421,2022-10-10,,UPI,3488.15,,0,Returned,1
11802,2123,2023-09-23,,UPI,1589.52,,,Delivered,1
18155,1283,2022-11-02,,NetBanking,4046.57,4,20,,4
83656,3996,2022-09-25,Fashion,UPI,1836.3,1,10,Cancelled,3
49384,3574,2022-05-18,Electronics,COD,2792.51,1,5,,
57254,1383,2022-02-18,Home,Card,3283.57,2,0,Delivered,1
31918,2578,2022-02-04,Fashion,,1756.25,2,10,Delivered,3
95981,4872,2022-07-01,Fashion,COD,2072.0,4,,Returned,
70713,3945,2022-04-30,Fashion,,-6.04,4,,Cancelled,5
40306,1186,2022-09-25,Fashion,COD,1425.78,,5,Returned,1
26646,4079,2023-04-21,Beauty,COD,2971.83,1,20,Delivered,1
56843,1623,2022-10-05,Fashion,COD,2955.82,1,0,,3
26371,1544,2022-08-25,Electronics,Card,2291.08,4,20,Returned,2
87371,4490,2022-09-01,,Card,4508.82,1,10,,3
12049,1913,2023-06-05,Home,Card,1731.87,1,10,Cancelled,1
41616,3137,2022-09-11,Electronics,COD,5351.61,,5,Returned,5
30932,3543,2023-10-16,Fashion,COD,1757.38,3,0,Cancelled,
39855,4732,2022-09-01,,NetBanking,1853.38,,20,Cancelled,2
71434,1959,2023-09-08,Fashion,NetBanking,3588.07,2,10,Cancelled,2
82694,4995,2023-11-29,Home,,-1114.66,2,20,Cancelled,
53016,2747,2022-02-05,Fashion,Card,2081.24,2,,Returned,5
17400,3163,2022-06-10,Beauty,UPI,2035.85,4,,,2
52642,3732,2023-07-30,Beauty,,4197.72,,0,Delivered,1
25151,2043,2022-05-21,Fashion,,2406.47,1,5,Returned,4
61407,4962,2023-11-05,,UPI,3742.99,,,,
76690,3179,2023-03-30,Home,UPI,1136.01,,10,Returned,4
14499,2315,2022-05-13,Fashion,Card,1463.06,2,5,,4
16295,3037,2023-09-15,Home,COD,1254.37,,,,3
69040,2377,2023-12-13,Fashion,,2889.05,4,20,,1
22183,4308,2022-10-01,Home,UPI,2838.94,3,10,,2
39299,2612,2023-08-24,Fashion,Card,1710.71,3,0,Cancelled,1
22874,1222,2022-01-18,Beauty,,2303.74,4,10,Returned,2
42711,1435,2022-10-03,Fashion,COD,3395.8,2,5,Returned,2
15539,2661,2022-12-26,Beauty,,2642.84,,,Cancelled,
63351,4110,2022-01-22,,UPI,685.38,3,0,Delivered,
71267,1326,2022-08-05,Fashion,UPI,2865.64,2,0,,4
58354,2232,2023-04-11,Home,NetBanking,1335.92,3,5,,
12557,3153,2023-05-08,,Card,4115.33,2,10,Delivered,
48360,3699,2023-05-09,Beauty,Card,2001.89,3,0,Returned,2
92018,4320,2022-07-20,,COD,2185.17,3,0,Cancelled,4
12200,1566,2022-09-22,Fashion,,1963.62,3,10,,
78497,3042,2023-11-30,Electronics,COD,2960.48,3,,,4
56975,1629,2022-10-16,Fashion,UPI,2865.35,4,,,4
31357,4933,2022-09-20,Beauty,,1861.66,,5,Returned,3
87505,3735,2023-02-21,,NetBanking,3382.77,3,0,Returned,1
12869,2377,2022-03-07,Electronics,NetBanking,1782.6,2,0,,1
71135,3517,2023-05-26,Home,,1228.32,4,0,Cancelled,4
60108,1724,2023-04-01,,Card,2883.44,2,10,Delivered,5
48467,1264,2023-09-01,,COD,3139.64,1,,Cancelled,1
33328,4723,2022-04-03,Fashion,NetBanking,-154.01,3,5,,5
96831,2487,2023-11-03,Home,NetBanking,1228.23,1,20,Returned,3
13987,3884,2023-09-21,Electronics,,3626.02,1,0,Returned,4
68871,3898,2022-06-29,,NetBanking,3291.49,4,20,Returned,3
32399,2464,2022-02-04,Fashion,UPI,4719.44,,5,,3
56214,2307,2022-10-23,Fashion,,763.73,1,0,,
96416,3832,2023-03-04,Electronics,UPI,1104.94,3,5,Delivered,1
80271,3581,2022-10-22,Home,,4119.89,,0,Cancelled,3
54064,2954,2023-06-16,Home,UPI,2170.56,3,20,Delivered,3
80091,3416,2022-12-19,Fashion,COD,3495.79,4,,Returned,3
50818,1698,2022-08-03,Home,COD,1807.17,2,,Returned,3
55525,2742,2022-02-22,Home,,1617.49,3,10,,5
29830,4730,2022-05-20,Fashion,COD,2511.04,,,Returned,4
27429,2518,2023-10-10,,COD,3547.81,1,,Delivered,2
16893,3993,2023-03-24,,NetBanking,1475.47,,0,Returned,2
89909,1153,2023-11-12,Home,,2008.21,,,Delivered,5
57333,3667,2023-09-26,Fashion,NetBanking,2684.35,1,20,,
13436,3363,2023-10-13,,UPI,1512.01,2,5,Returned,5
84290,2323,2022-01-26,,NetBanking,5125.63,2,,,3
86213,4511,2023-12-28,Fashion,NetBanking,3153.5,,10,,4
15895,1810,2023-07-04,Electronics,NetBanking,2963.24,2,,Cancelled,3
29738,1150,2023-10-07,Home,,1699.84,,0,Returned,4
40746,4477,2022-10-15,Home,Card,2080.59,3,5,Cancelled,
59377,3222,2022-07-16,,NetBanking,1383.19,,0,Returned,3
58404,2078,2022-04-22,Fashion,Card,3311.84,4,10,,
64045,1778,2023-10-17,Beauty,Card,2232.06,3,0,Returned,1
49790,2334,2023-04-16,Beauty,Card,1226.48,3,20,Delivered,2
15600,1153,2023-01-04,Fashion,NetBanking,649.21,,0,Returned,4
50764,4968,2023-01-17,Fashion,UPI,304.92,1,5,Cancelled,2
84543,4571,2022-01-28,Electronics,UPI,438.69,2,,Returned,1
55714,3019,2022-05-27,Beauty,NetBanking,2273.31,,0,Returned,
66835,1500,2022-11-06,Fashion,,4090.32,,20,Delivered,2
83744,4261,2023-01-13,Fashion,COD,2148.66,4,20,,5
66491,3553,2022-03-22,Home,,1600.19,,0,Cancelled,3
28589,1148,2022-01-15,Beauty,UPI,1176.82,,10,,4
53484,1007,2022-08-03,Fashion,UPI,59.11,4,,Returned,
92989,2683,2022-01-23,Beauty,Card,1661.63,2,20,,1
46212,2708,2022-12-02,Fashion,NetBanking,2661.65,2,20,Returned,
53525,1592,2022-07-09,Beauty,NetBanking,2257.55,3,0,,2
57202,3638,2022-10-08,Electronics,Card,3892.64,,20,Delivered,5
42635,1468,2022-06-09,Electronics,UPI,2076.51,3,10,Cancelled,2
73208,3368,2023-10-23,Electronics,UPI,3648.53,2,5,Delivered,4
43828,3619,2023-01-20,,COD,1495.27,,20,Returned,5
28711,1450,2022-10-11,Fashion,,3511.36,4,10,,1
13420,4678,2022-04-01,Home,,3570.52,4,5,,3
10301,2847,2023-09-20,,NetBanking,1794.2,4,5,Returned,3
55236,1127,2023-05-08,Beauty,UPI,2732.18,4,5,Cancelled,
76235,4705,2023-04-29,Fashion,UPI,2592.25,,,,5
64240,4358,2022-05-20,Fashion,Card,3276.97,4,5,Delivered,
75726,1852,2023-04-08,,,3963.7,2,10,Returned,1
20492,1086,2022-01-20,Fashion,Card,4192.33,3,20,Returned,
16102,4965,2022-12-05,Fashion,Card,2017.47,2,0,,2
60336,2104,2023-02-14,Beauty,COD,2383.97,,0,Returned,3
95314,1533,2023-08-20,Home,,1248.54,,5,Returned,2
36641,4323,2023-09-05,Beauty,UPI,1962.23,,,Returned,5
44584,3237,2023-03-10,,Card,3549.07,3,5,,2
42745,1823,2022-07-21,Fashion,,3638.14,1,,Delivered,
33093,4669,2022-01-25,Fashion,UPI,2375.76,4,0,Cancelled,1
76105,2507,2022-01-31,Home,,853.44,,,,
61885,1378,2023-04-13,Home,COD,2759.83,1,10,,1
46631,1455,2022-07-26,Electronics,,3855.1,1,10,Delivered,3
82991,2902,2023-02-06,Home,,2249.74,1,20,,4
14014,4079,2022-06-17,Beauty,COD,4147.9,1,,Cancelled,1
21093,1317,2022-12-09,Fashion,Card,1019.05,2,,Delivered,2
28070,3381,2022-03-08,Beauty,Card,1947.58,4,0,,
45777,1229,2023-12-04,Beauty,NetBanking,4606.98,1,5,Returned,
66958,3711,2022-01-11,Beauty,NetBanking,3981.39,2,,Returned,
92074,1507,2023-02-15,Beauty,NetBanking,4244.78,1,10,Delivered,5
20729,1789,2022-06-14,Beauty,Card,1316.06,4,0,Returned,3
55017,2550,2022-05-20,Beauty,UPI,4182.4,,20,Cancelled,5
76320,2498,2023-04-26,Fashion,Card,-713.02,4,20,Returned,
37751,1923,2023-02-16,Beauty,NetBanking,2403.53,1,20,Returned,4
88069,4477,2022-09-19,,NetBanking,2474.59,,,,3
64748,4358,2023-05-21,Beauty,UPI,2073.33,2,10,Returned,5
15801,4016,2022-08-01,Electronics,UPI,1133.97,2,10,Returned,5
29190,1759,2022-12-11,Beauty,COD,380.22,4,,Cancelled,
59689,2790,2023-07-13,Electronics,,2662.87,1,,Delivered,3
60993,1445,2022-02-05,Fashion,,2306.56,3,0,Cancelled,
39592,2366,2023-08-17,,Card,2464.86,,0,Cancelled,5
20647,1324,2022-02-13,Fashion,Card,3470.59,,20,Returned,2
18716,1876,2023-02-11,Fashion,COD,2014.91,,20,Delivered,4
98891,1166,2022-03-28,Beauty,NetBanking,896.59,1,20,Cancelled,5
97545,4664,2022-02-04,Electronics,UPI,3225.96,3,0,,4
99912,4367,2023-03-29,,Card,4569.7,2,5,Delivered,4
80316,1580,2022-11-13,Beauty,COD,2508.75,3,5,Returned,
12368,4254,2023-12-22,Electronics,NetBanking,2195.42,1,5,Cancelled,1
87575,1838,2022-06-15,Beauty,Card,2114.2,,,Returned,2
16655,2599,2022-06-29,Fashion,UPI,2113.49,,,Cancelled,1
80031,2799,2023-05-29,Electronics,COD,3050.5,1,,,2
86429,2862,2023-03-23,Home,COD,4725.46,3,5,Delivered,4
97922,2109,2023-12-08,Beauty,COD,2302.6,3,,Cancelled,1
65766,4627,2023-04-23,Fashion,UPI,1579.14,4,,Cancelled,5
23403,3853,2022-12-19,Electronics,COD,2953.58,1,,Delivered,5
42097,4956,2023-06-19,Fashion,UPI,3124.61,,5,,3
88657,2172,2022-01-26,Beauty,NetBanking,1288.58,3,20,Returned,4
20966,1771,2022-01-30,Beauty,UPI,3787.71,1,20,,3
62921,1927,2023-11-10,Beauty,Card,3886.77,4,20,,
59726,4894,2023-08-25,,UPI,3812.55,2,5,,1
60300,3908,2022-08-12,,COD,2331.79,3,5,Delivered,3
32677,1955,2022-04-16,Beauty,NetBanking,2577.82,,,Delivered,2
65609,3106,2023-06-24,,COD,1466.68,4,0,Cancelled,4
66661,1605,2023-10-01,Fashion,NetBanking,3699.62,2,10,Delivered,
41024,4906,2023-04-02,Electronics,UPI,1610.47,1,0,Delivered,3
80313,1004,2022-03-02,,COD,1919.56,2,,Cancelled,
63006,3130,2022-06-25,,UPI,3154.65,1,,Delivered,2
25338,3887,2023-08-30,,,3449.52,,10,,4
78027,4454,2023-04-08,,COD,1938.51,1,0,,1
90135,3596,2023-08-31,Home,Card,132.17,3,5,Returned,4
29508,2502,2022-05-21,Electronics,Card,4011.45,3,5,,1
13051,4098,2022-03-27,Fashion,COD,2518.08,3,0,Delivered,4
58747,3572,2023-05-03,,,5135.51,3,20,Delivered,4
97142,2001,2023-09-27,Home,COD,2652.87,,,Cancelled,2
97235,4973,2023-01-30,Beauty,,1081.71,3,0,Returned,4
64021,4648,2022-12-19,Beauty,,2805.29,3,20,Delivered,2
76412,1413,2023-12-29,Home,COD,1177.17,4,10,Delivered,4
68335,1714,2023-02-28,Fashion,COD,2764.41,4,0,,1
66179,3227,2022-04-18,Home,UPI,2635.0,3,5,Returned,4
42093,2832,2022-06-28,Beauty,Card,3341.52,2,,,3
